State,City,Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Alabama,Birmingham ,Average High,53.8,58.4,66.7,74.4,81.5,87.7,90.8,90.6,85.1,75.3,65.4,55.9,73.9
Alabama,Birmingham ,Average Low,33.8,37.1,43.7,50.5,59.7,67.7,71.4,70.8,64.3,52.9,43.5,36.3,52.7
Alabama,Birmingham ,Average Precipitation,4.84,4.53,5.23,4.38,4.99,4.38,4.8,3.93,3.9,3.44,4.85,4.45,53.72
Alabama,Huntsville ,Average High,51.9,55.9,64.9,73.6,81.3,88.2,90.7,90.9,85,74.6,63.7,53.5,72.9
Alabama,Huntsville ,Average Low,31.8,35.5,42.2,50,59.3,67.1,70.4,69.4,62.5,51,41.8,34.4,51.4
Alabama,Huntsville ,Average Precipitation,4.89,4.84,5.21,4.32,5.11,4.29,4.05,3.61,3.72,3.59,4.94,5.77,54.34
Alabama,Mobile ,Average High,60.8,64.4,71.2,77.5,84.5,89.2,91,90.7,87,79.2,70.6,62.7,77.5
Alabama,Mobile ,Average Low,40,43.3,49.1,55.4,63.7,70.4,72.7,72.6,68,57.6,48.6,42.2,57
Alabama,Mobile ,Average Precipitation,5.65,5.12,6.14,4.79,5.14,6.11,7.25,6.96,5.11,3.69,5.13,5.06,66.15
Alabama,Montgomery ,Average High,57.4,61.8,69.7,76.6,84,89.8,92.1,91.9,87.3,78.3,69,59.6,76.5
Alabama,Montgomery ,Average Low,35.7,39.2,45.3,51.6,60.7,68.1,71.5,71,65.2,53.5,43.9,37.4,53.7
Alabama,Montgomery ,Average Precipitation,4.65,5.28,5.95,4.02,3.54,4.07,5.24,3.96,3.97,2.92,4.61,4.86,53.07
Alabama,Tuscaloosa ,Average High,55.6,60.2,68.7,76.1,83.4,89.3,92.1,91.9,87,77.1,67.1,57.7,75.6
Alabama,Tuscaloosa ,Average Low,33.8,37.3,43.5,50.2,59.9,67.5,71.3,70.7,63.9,51.9,42.7,36.2,52.5
Alabama,Tuscaloosa ,Average Precipitation,5.35,5.32,4.54,4.21,3.98,4.77,4.4,3.3,3.52,3.51,5.08,4.62,52.6
Alaska,Anchorage ,Average High,23.1,26.6,33.9,44.5,56,62.8,65.4,63.5,55.1,40.5,27.8,24.8,43.7
Alaska,Anchorage ,Average Low,11.1,13.8,19.2,29.1,39.6,47.7,52.2,50,42,29.1,16.6,13.2,30.4
Alaska,Anchorage ,Average Precipitation,0.73,0.72,0.6,0.47,0.72,0.97,1.83,3.25,2.99,2.03,1.16,1.11,16.58
Arizona,Flagstaff,Average High,42.5,44.8,50.4,58.2,68.1,77.9,81.2,78.4,72.9,62,50.5,42.5,60.9
Arizona,Flagstaff,Average Low,17.3,19.3,23.6,28.5,35,41.9,50.9,50.1,42,31.5,22.9,16.8,31.7
Arizona,Flagstaff,Average Precipitation,2.05,2.16,2.12,1.15,0.63,0.36,2.61,3.11,2.38,1.66,1.76,1.87,21.86
Arizona,Mesa ,Average High,67,71,77,85,94,104,106,104,99,89,75,67,87
Arizona,Mesa ,Average Low,41,45,49,54,61,70,77,76,70,59,47,40,57
Arizona,Mesa ,Average Precipitation,1.01,1.03,1.19,0.33,0.17,0.06,0.89,1.14,0.89,0.81,0.77,0.98,9.27
Arizona,Phoenix ,Average High,67.2,70.7,76.9,85.2,94.8,103.9,106.1,104.4,99.8,88.5,75.5,66,86.6
Arizona,Phoenix ,Average Low,45.6,48.7,53.5,60.2,69.4,77.7,83.5,82.7,76.9,64.8,52.7,44.8,63.4
Arizona,Phoenix ,Average Precipitation,0.91,0.92,0.99,0.28,0.11,0.02,1.05,1,0.64,0.58,0.65,0.88,8.03
Arizona,Scottsdale ,Average High,69,73,78,86,95,103,105,103,100,89,78,68,87
Arizona,Scottsdale ,Average Low,39,42,46,52,60,68,75,75,68,56,45,38,55
Arizona,Scottsdale ,Average Precipitation,1.08,1.2,1.11,0.28,0.14,0.03,1.06,1.36,0.68,0.64,0.69,1.1,9.37
Arizona,Sedona,Average High,56.5,60.6,65.1,73.4,82.2,93.3,96.6,94.2,88.1,77.2,64.3,56.6,75.7
Arizona,Sedona,Average Low,30.5,33.3,36.8,41.9,49.3,57.9,64,63.4,57.7,47.9,36.4,30.7,45.8
Arizona,Sedona,Average Precipitation,2.1,2.16,2.47,1.16,0.71,0.36,1.65,1.9,1.94,1.67,1.38,1.51,19.01
Arizona,Tucson ,Average High,65.5,68.5,74.1,82.1,91.6,100.3,99.7,97.4,94.5,84.8,73.5,64.8,83.1
Arizona,Tucson ,Average Low,39.8,42.2,46.2,52,60.5,69.3,74.4,73.3,68.6,57.3,46.1,39.1,55.8
Arizona,Tucson ,Average Precipitation,0.94,0.86,0.73,0.31,0.23,0.2,2.25,2.39,1.29,0.89,0.57,0.93,11.59
Arkansas,Little Rock ,Average High,50.5,55.1,64,73.1,81.1,88.9,92.5,92.6,85.6,74.8,63,52.3,72.9
Arkansas,Little Rock ,Average Low,31.2,34.5,42.7,51,61.1,69.4,73.2,72.4,64.5,52.6,42.2,33.7,52.5
Arkansas,Little Rock ,Average Precipitation,3.55,3.66,4.68,5.14,4.87,3.65,3.27,2.59,3.18,4.91,5.28,4.97,49.75
California,Fresno ,Average High,54.8,61.6,67.6,74.6,84.1,92,98.4,97.1,90.9,79.5,65.1,54.9,76.7
California,Fresno ,Average Low,38.3,41.5,45.6,49.4,56.2,62.4,67.6,66.2,61.5,53,43.4,38,51.9
California,Fresno ,Average Precipitation,2.19,2.03,2.03,0.95,0.43,0.21,0.01,0.01,0.17,0.63,1.07,1.77,11.5
California,Huntington Beach,Average High,63,63,63,64,66,68,71,72,72,70,67,63,67
California,Huntington Beach,Average Low,50,51,52,55,58,61,64,65,64,60,54,49,57
California,Huntington Beach,Average Precipitation,2.1,2.7,1.7,0.7,0.1,0.1,0,0,0.2,0.4,1,1.8,10.8
California,Laguna Beach,Average High,67.3,67.3,68.5,70.7,72.4,74.6,78.4,79.4,79.3,76,71,66.5,72.9
California,Laguna Beach,Average Low,43.8,44.7,46.9,49.2,54,57.3,60.2,60.3,58.8,54.3,47.7,43.3,52.3
California,Laguna Beach,Average Precipitation,2.35,3.3,1.99,0.93,0.22,0.11,0.04,0.03,0.28,0.66,1.19,2.41,13.47
California,Long Beach ,Average High,67.4,67.2,68.6,71.7,73.6,76.7,81.9,83.8,82.1,77.2,72.1,66.8,74.1
California,Long Beach ,Average Low,46.1,48,50.5,53.2,57.6,61,64.5,64.9,63.2,58.3,50.8,45.8,55.4
California,Long Beach ,Average Precipitation,2.6,3.09,1.87,0.6,0.21,0.07,0.03,0.03,0.18,0.63,1,1.95,12.26
California,Los Angeles ,Average High,68.2,68.6,70.2,72.7,74.5,78.1,83.1,84.4,83.1,78.5,72.8,67.7,75.2
California,Los Angeles ,Average Low,47.8,49.3,51,53.5,57.1,60.3,63.6,64.1,63.1,58.7,52,47.5,55.7
California,Los Angeles ,Average Precipitation,3.12,3.8,2.43,0.91,0.26,0.09,0.01,0.04,0.24,0.66,1.04,2.33,14.93
California,Malibu,Average High,63.5,62.7,63.2,63.7,65.2,67.3,70.1,71.3,71.1,70.2,67.2,63.6,66.6
California,Malibu,Average Low,50.8,51.6,53.2,54.8,56.9,59.6,62.8,63.4,59.8,58.8,55.2,50.9,56.5
California,Malibu,Average Precipitation,2.84,3.44,1.96,0.66,0.21,0.04,0.01,0.04,0.13,0.5,1.08,1.88,12.79
California,Monterey,Average High,58.3,59.6,60.8,62.1,63,64.9,66.3,67.6,69.6,68.2,62.8,57.8,63.4
California,Monterey,Average Low,43.7,44.7,45.4,46.2,48.1,50.3,52.2,53.1,52.8,50.8,47.1,43.8,48.2
California,Monterey,Average Precipitation,4.4,3.92,3.38,1.49,0.56,0.2,0.05,0.07,0.24,1.06,2.32,3.41,21.1
California,Napa,Average High,57.3,62.2,66.6,71.2,76.2,81.1,82.9,83,82.9,76.7,65.1,57.1,71.9
California,Napa,Average Low,39.4,41.9,43.5,45.2,49.6,53.4,55.1,55,53.2,49.2,43.7,39.6,47.4
California,Napa,Average Precipitation,5.13,5.54,3.87,1.59,1.03,0.19,0,0.09,0.3,1.48,3.45,5.23,27.8
California,Oakland ,Average High,58,61.8,63.6,66,68.8,71.2,71.7,73,74.1,71.7,64.6,58.1,66.6
California,Oakland ,Average Low,44.7,47.7,49.1,50.5,53.5,55.7,56.9,58.1,57.8,55.1,49.8,45.4,51.9
California,Oakland ,Average Precipitation,4.59,4.65,3.52,1.32,0.73,0.12,0,0.07,0.23,1.29,3.07,4.44,24.09
California,Palm Springs,Average High,70.3,73.3,79.8,86.8,95,103.3,107.8,106.8,101.2,90.3,78,68.9,88.4
California,Palm Springs,Average Low,45.5,48.1,52.2,57.4,64.6,70.8,77.5,77.6,71.8,62.2,51.7,44.2,60.3
California,Palm Springs,Average Precipitation,1.28,1.21,0.68,0.08,0.02,0.03,0.21,0.33,0.3,0.27,0.37,0.76,4.49
California,Sacramento ,Average High,53.8,60.3,65.1,71.1,79.9,87.1,92.1,91.2,87.2,77.6,63.8,53.9,73.6
California,Sacramento ,Average Low,38.8,41.4,44.1,46.2,51.1,55.8,58.4,58,55.7,50.2,42.8,38.4,48.4
California,Sacramento ,Average Precipitation,3.64,3.47,2.75,1.15,0.68,0.21,#VALUE!,0.05,0.29,0.95,2.08,3.25,18.52
California,San Diego ,Average High,65.1,65,65.6,67.5,68.5,70.8,74.6,76.4,75.9,72.8,69,64.7,69.7
California,San Diego ,Average Low,49,50.7,53.2,55.9,59.4,62,65.4,66.7,65.2,60.6,53.6,48.4,57.5
California,San Diego ,Average Precipitation,1.98,2.27,1.81,0.78,0.12,0.07,0.03,0.02,0.15,0.57,1.01,1.53,10.34
California,San Francisco ,Average High,56.9,60.2,61.8,63.1,64.3,66.4,66.5,68.1,70.2,69.2,63.1,57.1,63.9
California,San Francisco ,Average Low,45.7,47.5,48.5,49.2,51,52.8,54.1,55.1,55.1,53.7,50.1,46.1,50.7
California,San Francisco ,Average Precipitation,4.5,4.46,3.26,1.46,0.7,0.16,0,0.06,0.21,1.12,3.16,4.56,23.65
California,San Jose ,Average High,58.1,61.9,65.7,69.3,74.3,79.1,81.9,81.9,80.1,74,64.3,58,70.7
California,San Jose ,Average Low,42,44.7,46.6,48.6,52.4,56,58.1,58.3,56.8,52.5,46,41.9,50.3
California,San Jose ,Average Precipitation,3.07,3.11,2.54,1.18,0.51,0.1,0.02,0.02,0.18,0.8,1.68,2.61,15.82
California,Santa Barbara,Average High,64.7,65.4,66.1,69,69.6,71.2,74.7,76,75.1,72.8,68.9,64.7,69.9
California,Santa Barbara,Average Low,46.4,48.1,49.8,51.8,54.6,57.5,60.4,60.4,59.6,56.2,50.3,46.7,53.5
California,Santa Barbara,Average Precipitation,4.14,4.68,3.59,0.77,0.35,0.09,0.01,0.03,0.29,0.52,1.48,2.63,18.58
California,Santa Cruz,Average High,60.6,62.3,64.4,67.5,70.1,72.9,73.4,74.3,74.5,71.5,64.9,60,68
California,Santa Cruz,Average Low,40.8,42.7,44,45.5,48.6,51.5,53.7,53.9,52.6,49,44.3,40.8,47.3
California,Santa Cruz,Average Precipitation,6.4,6.24,4.67,1.99,0.85,0.19,0.01,0.04,0.27,1.44,3.75,5.68,31.53
California,Santa Monica,Average High,63.7,63.2,62.5,64,64.6,67,69.8,70.3,70.7,69.4,67.1,63.7,66.3
California,Santa Monica,Average Low,50.9,51.4,52.5,54.4,57,60,62.6,63.2,62.8,59.7,55,50.8,56.6
California,Santa Monica,Average Precipitation,2.84,3.44,1.96,0.66,0.21,0.04,0.01,0.04,0.13,0.5,1.08,1.88,12.79
California,South Lake Tahoe,Average High,43,44.1,48.5,54.2,63.5,72.3,80.8,80.3,73.6,62.8,50.5,43.2,59.7
California,South Lake Tahoe,Average Low,16.1,17.7,22.5,26.6,32.2,37.1,41.4,40.2,34.5,28.1,22.1,16.5,27.9
California,South Lake Tahoe,Average Precipitation,1.95,2.24,1.76,1.27,0.97,0.2,0.31,0.42,0.17,1.72,1.61,3.81,16.44
Colorado,Aspen,Average High,35.6,39.3,45.6,52.8,63.1,72.8,78.4,76,69.2,57.9,43.9,34.7,55.9
Colorado,Aspen,Average Low,9.4,12,19.8,27,35.4,42.3,48.1,47.4,39.6,30.1,19.3,10.2,28.5
Colorado,Aspen,Average Precipitation,1.7,2.21,2.66,2.57,2.1,1.31,1.91,1.67,2.05,2.17,2.45,2.13,24.93
Colorado,Breckenridge,Average High,29.6,30.2,36.7,44.3,53.4,65.2,70.2,70.3,63.9,51.8,40.4,30.2,48.9
Colorado,Breckenridge,Average Low,0.4,1.2,8.4,16.6,24.9,31.7,37.3,36.6,29.2,20.2,10.2,0.4,18.1
Colorado,Breckenridge,Average Precipitation,1.49,1.67,1.79,1.94,1.67,1.37,2.39,2.32,1.48,1.27,1.37,1.49,20.26
Colorado,Colorado Springs ,Average High,43.2,44.8,52.1,59.8,69.1,79,84.8,81.6,74.5,63,51,42.1,62.2
Colorado,Colorado Springs ,Average Low,17.7,19.5,26,33.3,42.7,51.3,56.9,55.7,47.3,35.8,25.2,17.5,35.8
Colorado,Colorado Springs ,Average Precipitation,0.32,0.34,1,1.42,2.03,2.5,2.84,3.34,1.19,0.82,0.4,0.34,16.54
Colorado,Denver ,Average High,44,46.2,54.4,61.5,71.5,82.4,89.4,87.2,78.5,65.3,52.1,42.8,64.7
Colorado,Denver ,Average Low,17.4,18.9,26.4,33.3,42.7,52.3,58.9,57.9,48.3,36.6,24.5,17.1,36.3
Colorado,Denver ,Average Precipitation,0.41,0.37,0.92,1.71,2.12,1.98,2.16,1.69,0.96,1.02,0.61,0.35,14.3
Colorado,Fort Collins ,Average High,44.2,46.5,54.7,62.2,71.1,80.4,86.6,84,75.9,63.9,51.4,42.8,63.6
Colorado,Fort Collins ,Average Low,17.5,20.4,27.7,35.1,44.1,52.2,58,56.3,47.1,35.9,25.6,17.2,36.4
Colorado,Fort Collins ,Average Precipitation,0.4,0.42,1.6,2.06,2.43,2.17,1.71,1.6,1.33,1.15,0.76,0.5,16.13
Colorado,Vail,Average High,29.1,33,42.3,49.9,60.8,72.2,77.7,75.3,67.1,54.1,37.6,28.2,52.3
Colorado,Vail,Average Low,5.7,8.5,16.5,23.7,30.8,35.2,41.2,40.4,33,24.8,14.6,6.4,23.4
Colorado,Vail,Average Precipitation,1.87,2.08,1.8,2.22,1.83,1.49,1.95,1.86,2.07,1.72,1.91,1.61,22.41
Connecticut,Bridgeport ,Average High,37.1,39.7,47.2,57.7,67.6,77,82.2,80.9,74,63.3,53.1,42.3,60.2
Connecticut,Bridgeport ,Average Low,23,25.2,31.4,41,50.6,60.4,66.4,65.8,58.3,46.5,38,28.4,44.6
Connecticut,Bridgeport ,Average Precipitation,3.1,2.79,4.05,4.13,3.8,3.61,3.46,3.96,3.48,3.64,3.39,3.33,42.74
Connecticut,Hartford ,Average High,34.5,38.5,47.7,60.5,71.2,79.6,84.5,82.7,74.9,63.1,51.6,39.7,60.7
Connecticut,Hartford ,Average Low,17.7,20.9,27.9,38.4,47.7,57.3,62.7,61.1,52.7,41.1,33.2,23.4,40.3
Connecticut,Hartford ,Average Precipitation,3.23,2.89,3.62,3.72,4.35,4.35,4.18,3.93,3.88,4.37,3.89,3.44,45.85
Connecticut,New Haven ,Average High,37.8,40.5,47.6,58.2,68.5,77.3,82.5,80.9,74.4,63.4,53.5,42.9,60.7
Connecticut,New Haven ,Average Low,22.2,24.9,31.2,40.2,49.3,59.7,65.5,64.9,56.1,45,36.6,28.4,43.8
Connecticut,New Haven ,Average Precipitation,3.19,2.89,4.29,4.44,4.17,4.02,4.01,3.95,4.37,4.24,3.93,3.61,47.11
Connecticut,Stamford ,Average High,38.2,42.3,50.6,63.2,73.2,81.2,85.6,83.7,76.4,65.2,54.4,43,63.1
Connecticut,Stamford ,Average Low,20,22.2,29.2,38.8,48.1,57.1,62.3,61.1,53.9,42.4,34.1,25.3,41.2
Connecticut,Stamford ,Average Precipitation,4.5,3.32,4.7,4.51,4.97,4.33,4.09,4.26,4.82,4.42,4.58,4.29,52.79
Delaware,Wilmington ,Average High,40.2,43.5,52.4,63.5,73,81.8,86.1,84.2,77.4,66.2,55.7,44.6,64.1
Delaware,Wilmington ,Average Low,24.6,26.8,33.6,43,52.6,62.6,67.6,66.1,58.2,46.1,37.4,28.7,45.7
Delaware,Wilmington ,Average Precipitation,3.01,2.68,3.92,3.5,3.95,3.88,4.57,3.25,4.32,3.42,3.1,3.48,43.08
District of Columbia,Washington ,Average High,43.4,47.1,55.9,66.6,75.4,84.2,88.4,86.5,79.5,68.4,57.9,46.8,66.8
District of Columbia,Washington ,Average Low,28.6,30.9,37.6,47,56.5,66.3,71.1,69.7,62.4,50.6,41.2,32.5,49.6
District of Columbia,Washington ,Average Precipitation,2.81,2.62,3.48,3.06,3.99,3.78,3.73,2.93,3.72,3.4,3.17,3.05,39.74
Florida,Destin,Average High,61,63,68,74,82,87,89,89,86,79,70,62,75.8
Florida,Destin,Average Low,45,47,53,60,68,75,77,76,72,63,54,47,61.4
Florida,Destin,Average Precipitation,5.08,5.28,6.06,4.25,3.31,5.51,7.95,6.73,5.16,3.82,4.61,4.61,62.37
Florida,Fort Meyers,Average High,75,77,80,85,89,92,92,92,91,87,81,77,84.7
Florida,Fort Meyers,Average Low,54,56,59,63,69,74,75,75,74,69,62,56,65.5
Florida,Fort Meyers,Average Precipitation,1.94,2.15,2.88,2.18,2.65,10.09,9.04,10.14,8.31,2.88,1.96,1.71,55.93
Florida,Jacksonville ,Average High,64.8,68.2,73.7,79.2,85.5,89.9,92,90.9,86.9,80.4,73.5,66.6,79.3
Florida,Jacksonville ,Average Low,41.4,44.7,49.7,54.7,62.7,70,72.6,72.7,69.5,60.5,50.9,43.9,57.8
Florida,Jacksonville ,Average Precipitation,3.3,3.19,3.95,2.64,2.48,6.45,6.55,6.8,8.19,3.93,2.11,2.8,52.39
Florida,Miami ,Average High,76.4,78.1,80.3,83.2,87,89.5,90.9,91,89.3,86.2,81.7,77.9,84.3
Florida,Miami ,Average Low,59.9,62.3,64.9,68.3,72.9,76,77.3,77.4,76.5,73.5,68.1,63,70
Florida,Miami ,Average Precipitation,1.62,2.25,3,3.14,5.34,9.67,6.5,8.88,9.86,6.33,3.27,2.04,61.9
Florida,Naples,Average High,74.7,77.7,80.4,83.9,88.7,91.3,92.7,93.1,91.6,88,82.6,77.7,85.3
Florida,Naples,Average Low,54.2,55.3,58.3,62.2,67.6,71.6,73.5,74.2,73.6,68.5,61.9,55.9,64.7
Florida,Naples,Average Precipitation,2.06,2.32,2.25,2.29,3.35,8.89,9.18,9.02,8.66,3.82,2.09,1.71,55.64
Florida,Orlando ,Average High,71.2,73.9,78,82.5,88.1,90.7,91.8,91.6,89.5,84.6,78.4,72.8,82.8
Florida,Orlando ,Average Low,49.2,52.1,55.8,60,66.4,72,73.6,74.1,72.7,66.4,58.6,52.4,62.8
Florida,Orlando ,Average Precipitation,2.35,2.38,3.77,2.68,3.45,7.58,7.27,7.13,6.06,3.31,2.17,2.58,50.73
Florida,St. Augustine,Average High,66,69,73,78,84,88,90,89,86,81,74,68,79
Florida,St. Augustine,Average Low,46,49,53,58,65,71,72,73,71,65,56,49,61
Florida,St. Augustine,Average Precipitation,2.7,3.1,3.9,2.6,3.1,5.6,5.7,6.5,7.5,4.6,2.3,2.4,50
Florida,St. Petersburg ,Average High,69.2,71.6,75.4,80.2,86.1,89.3,90.4,90.2,88.5,83.5,76.8,71.3,81.1
Florida,St. Petersburg ,Average Low,53.7,56.2,60.2,65.2,71.4,75.6,76.8,77,75.7,70.3,62.8,56.6,66.8
